method,N,n_runs,n_feasible,n_infeasible,feasibility_rate_pct,runtime_mean_all,runtime_mean_feasible,runtime_mean_infeasible,cost_mean_feasible
exact,1,5,5,0,100.00,0.0008,0.0008,,117.1644
exact,2,7,6,1,85.71,0.0059,0.0069,0.0004,183.1162
exact,3,2,2,0,100.00,0.0047,0.0047,,134.8693
exact,4,1,0,1,0.00,0.0012,,0.0012,
exact,5,5,5,0,100.00,0.0821,0.0821,,359.1506
exact,10,5,5,0,100.00,0.7750,0.7750,,505.2105
exact,15,5,5,0,100.00,12.3969,12.3969,,550.1140
exact,20,5,5,0,100.00,41.2294,41.2294,,667.4695
exact,30,5,5,0,100.00,14673.4804,14673.4804,,1134.4032
exact,31,1,1,0,100.00,18000.0135,18000.0135,,5943.1043
exact,36,1,1,0,100.00,11269.9033,11269.9033,,5980.9397
exact,44,1,1,0,100.00,18000.0088,18000.0088,,10292.1342
exact,50,5,5,0,100.00,18000.0254,18000.0254,,1916.3122
exact,53,1,1,0,100.00,18000.0180,18000.0180,,12617.2356
exact,59,1,1,0,100.00,18000.0210,18000.0210,,14281.4239
exact,75,5,5,0,100.00,18000.0940,18000.0940,,4219.1627
exact,79,1,0,1,0.00,18000.0525,,18000.0525,
exact,100,6,2,4,33.33,18000.1320,18000.2273,18000.0843,5850.4224
exact,105,1,0,1,0.00,18000.0207,,18000.0207,
exact,109,1,1,0,100.00,18000.0482,18000.0482,,3074086.6457
exact,114,1,0,1,0.00,18000.0394,,18000.0394,
exact,119,1,1,0,100.00,18000.1824,18000.1824,,3964628.8890
exact,150,5,0,5,0.00,18000.9070,,18000.9070,
exact,200,5,0,5,0.00,18000.6706,,18000.6706,
ga,1,240,240,0,100.00,0.2479,0.2479,,117.1644
ga,2,336,288,48,85.71,0.3180,0.3197,0.3077,191.6475
ga,3,96,96,0,100.00,0.3971,0.3971,,134.8693
ga,4,48,0,48,0.00,0.4504,,0.4504,
ga,5,240,240,0,100.00,0.4898,0.4898,,359.4434
ga,10,240,240,0,100.00,0.7503,0.7503,,532.4744
ga,15,240,240,0,100.00,1.0024,1.0024,,571.2755
ga,20,240,240,0,100.00,1.3356,1.3356,,701.5191
ga,30,240,240,0,100.00,1.9995,1.9995,,1281.4559
ga,31,48,48,0,100.00,2.1187,2.1187,,8305.6190
ga,36,48,48,0,100.00,2.4745,2.4745,,8204.9453
ga,44,48,48,0,100.00,3.0814,3.0814,,11540.2753
ga,50,240,240,0,100.00,3.4682,3.4682,,2284.8737
ga,53,48,48,0,100.00,3.7926,3.7926,,12611.6090
ga,59,48,48,0,100.00,4.3201,4.3201,,16045.7522
ga,75,240,240,0,100.00,5.6134,5.6134,,4728.1455
ga,79,48,48,0,100.00,5.9493,5.9493,,18176.4298
ga,100,288,288,0,100.00,7.9012,7.9012,,702374.5568
ga,105,48,48,0,100.00,8.1328,8.1328,,4194022.2114
ga,109,48,48,0,100.00,8.4588,8.4588,,2476983.4278
ga,114,48,3,45,6.25,9.1618,28.6524,7.8625,2356600.2414
ga,119,48,48,0,100.00,8.4739,8.4739,,3402432.2674
ga,150,240,240,0,100.00,14.1512,14.1512,,14676.7902
ga,200,240,240,0,100.00,26.6594,26.6594,,26752.9444
savings,1,5,5,0,100.00,0.0000,0.0000,,117.1644
savings,2,7,6,1,85.71,0.0000,0.0000,0.0000,191.6475
savings,3,2,2,0,100.00,0.0000,0.0000,,134.8693
savings,4,1,0,1,0.00,0.0000,,0.0000,
savings,5,5,5,0,100.00,0.0000,0.0000,,373.3934
savings,10,5,5,0,100.00,0.0000,0.0000,,528.8000
savings,15,5,5,0,100.00,0.0000,0.0000,,570.3014
savings,20,5,5,0,100.00,0.0001,0.0001,,726.0068
savings,30,5,5,0,100.00,0.0002,0.0002,,1256.4841
savings,31,1,1,0,100.00,0.0001,0.0001,,8225.6079
savings,36,1,1,0,100.00,0.0001,0.0001,,8060.6828
savings,44,1,1,0,100.00,0.0004,0.0004,,11335.9021
savings,50,5,5,0,100.00,0.0007,0.0007,,2159.0293
savings,53,1,1,0,100.00,0.0002,0.0002,,13243.4388
savings,59,1,1,0,100.00,0.0003,0.0003,,15056.7879
savings,75,5,5,0,100.00,0.0010,0.0010,,3740.0557
savings,79,1,1,0,100.00,0.0010,0.0010,,17038.0316
savings,100,6,6,0,100.00,0.0022,0.0022,,624956.8165
savings,105,1,1,0,100.00,0.0019,0.0019,,4015251.7453
savings,109,1,1,0,100.00,0.0009,0.0009,,2236551.4065
savings,114,1,0,1,0.00,0.0014,,0.0014,
savings,119,1,1,0,100.00,0.0013,0.0013,,3185194.8820
savings,150,5,5,0,100.00,0.0137,0.0137,,9329.5170
savings,200,5,5,0,100.00,0.0179,0.0179,,15317.1037
tabu,1,60,60,0,100.00,0.0002,0.0002,,117.1644
tabu,2,84,72,12,85.71,0.0004,0.0004,0.0000,183.1162
tabu,3,24,24,0,100.00,0.0001,0.0001,,134.8693
tabu,4,12,0,12,0.00,0.0000,,0.0000,
tabu,5,60,60,0,100.00,0.0013,0.0013,,359.4382
tabu,10,60,60,0,100.00,0.0052,0.0052,,505.2105
tabu,15,60,60,0,100.00,0.0078,0.0078,,567.8185
tabu,20,60,60,0,100.00,0.0154,0.0154,,691.7903
tabu,30,60,60,0,100.00,0.0612,0.0612,,1197.9254
