method,instance,N,M,beta,seed,cost_operational,cost_priority,cost_total,lower_bound,root_lp_bound,gap,optimal,feasible,status,num_nodes,num_iterations,num_solutions,runtime_sec,variant
exact,ex2_1v_infeasible,2,1,0.001000,42,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,infeasible,0,0,0,0.000418,
exact,ex3_3v_all_feasible,3,3,0.001000,42,162.000000,20.000000,162.020000,162.020000,154.363591,0.000000,1,1,optimal,0,0,1,0.000796,
exact,ex4_3v_infeasible,4,3,0.001000,42,0.000000,0.000000,0.000000,0.000000,169.094658,1.000000,0,0,infeasible,0,0,0,0.001179,
exact,ex1_1v_feasible,2,1,0.001000,42,84.142136,50.000000,84.192136,84.192136,78.556349,0.000000,1,1,optimal,0,2,2,0.005535,
exact,hfvrp_n001_m03_s01,1,3,0.001000,42,87.334995,168.337487,87.503332,87.503332,87.503332,0.000000,1,1,optimal,0,0,1,0.000888,
exact,ex5_3v_one_used_feasible,3,3,0.001000,42,107.597980,120.710678,107.718690,107.718690,95.597980,0.000000,1,1,optimal,0,4,2,0.008676,
exact,hfvrp_n001_m03_s02,1,3,0.001000,42,156.310634,50.546098,156.361180,156.361180,156.361180,0.000000,1,1,optimal,0,0,1,0.000631,
exact,hfvrp_n001_m03_s03,1,3,0.001000,42,130.438737,0.000000,130.438737,130.438737,130.438737,0.000000,1,1,optimal,0,0,1,0.001163,
exact,hfvrp_n001_m03_s04,1,3,0.001000,42,122.386776,0.000000,122.386776,122.386776,122.386776,0.000000,1,1,optimal,0,0,1,0.000634,
exact,hfvrp_n001_m03_s05,1,3,0.001000,42,89.097550,34.548775,89.132099,89.132099,89.132099,0.000000,1,1,optimal,0,0,1,0.000630,
exact,hfvrp_n002_m03_s01,2,3,0.001000,42,262.852855,468.007587,263.320862,263.320862,249.055499,0.000000,1,1,optimal,0,0,3,0.004805,
exact,hfvrp_n002_m03_s02,2,3,0.001000,42,139.033247,41.343143,139.074590,139.074590,130.817821,0.000000,1,1,optimal,0,12,3,0.006747,
exact,hfvrp_n002_m03_s03,2,3,0.001000,42,185.309216,25.338303,185.334554,185.334554,155.417444,0.000000,1,1,optimal,0,0,3,0.006428,
exact,hfvrp_n002_m03_s04,2,3,0.001000,42,174.552021,35.445494,174.587466,174.587466,142.481649,0.000000,1,1,optimal,0,18,3,0.010887,
exact,hfvrp_n002_m03_s05,2,3,0.001000,42,252.004246,183.153460,252.187399,252.187399,216.906774,0.000000,1,1,optimal,0,7,2,0.006757,
exact,hfvrp_n005_m03_s01,5,3,0.001000,42,350.283936,145.533835,350.429470,350.429470,267.549103,0.000000,1,1,optimal,0,198,4,0.082818,
exact,hfvrp_n005_m03_s02,5,3,0.001000,42,358.545666,176.381442,358.722047,358.722047,289.406726,0.000000,1,1,optimal,0,184,4,0.043758,
exact,hfvrp_n005_m03_s03,5,3,0.001000,42,444.734799,0.000000,444.734799,438.931910,325.638053,0.013048,1,1,optimal,0,224,3,0.057526,
exact,hfvrp_n005_m03_s04,5,3,0.001000,42,278.576281,287.478473,278.863759,278.863759,158.921111,0.000000,1,1,optimal,0,85,3,0.034529,
exact,hfvrp_n005_m03_s05,5,3,0.001000,42,362.596536,406.141495,363.002677,363.002677,301.136120,0.000000,1,1,optimal,7,657,4,0.191869,
exact,hfvrp_n010_m03_s01,10,3,0.001000,42,505.698641,331.824464,506.030466,506.030466,315.594584,0.000000,1,1,optimal,934,8087,9,1.000644,
exact,hfvrp_n010_m03_s02,10,3,0.001000,42,488.666606,539.371764,489.205978,489.205978,309.276307,0.000000,1,1,optimal,627,6147,12,0.443476,
exact,hfvrp_n010_m03_s03,10,3,0.001000,42,534.726709,763.645230,535.490355,535.490355,425.184968,0.000000,1,1,optimal,417,4631,11,0.826570,
exact,hfvrp_n010_m03_s05,10,3,0.001000,42,481.969273,655.167646,482.624440,482.624440,340.923866,0.000000,1,1,optimal,71,1180,6,0.288950,
exact,hfvrp_n010_m03_s04,10,3,0.001000,42,511.684614,1016.706664,512.701321,512.701321,354.562532,0.000000,1,1,optimal,2285,22366,9,1.315125,
exact,hfvrp_n015_m03_s01,15,3,0.001000,42,551.460560,2174.186324,553.634747,553.634747,418.056740,0.000000,1,1,optimal,5444,74534,14,10.116975,
exact,hfvrp_n015_m03_s02,15,3,0.001000,42,527.232952,2252.207446,529.485159,529.485159,369.693351,0.000000,1,1,optimal,2009,25377,11,1.855132,
exact,hfvrp_n015_m03_s05,15,3,0.001000,42,559.210526,1303.873819,560.514400,560.514400,352.825609,0.000000,1,1,optimal,2210,26997,8,5.028011,
exact,hfvrp_n015_m03_s04,15,3,0.001000,42,614.626038,4323.337407,618.949375,618.949375,403.518958,0.000000,1,1,optimal,2221,37800,15,7.954428,
exact,hfvrp_n015_m03_s03,15,3,0.001000,42,487.231918,754.172361,487.986091,487.986091,336.962556,0.000000,1,1,optimal,11026,114221,9,37.029885,
exact,hfvrp_n020_m04_s02,20,4,0.001000,42,651.278443,2443.772025,653.722215,653.722215,516.395425,0.000000,1,1,optimal,5009,101550,11,25.790008,
exact,hfvrp_n020_m04_s05,20,4,0.001000,42,657.465461,2083.931358,659.549392,659.549392,548.793994,0.000000,1,1,optimal,645,10546,7,1.225642,
