variant_a,variant_b,n_pairs,a_wins,b_wins,ties,mean_gap_pct,median_gap_pct
BIG,DEFAULT,730,451,8,271,-10.4673,-2.1399
BIG,MEDIUM,730,277,129,324,-1.1625,0.0000
BIG,SMALL,730,473,0,257,-16.6843,-5.2608
DEFAULT,BIG,730,8,451,271,14.7164,2.1868
DEFAULT,MEDIUM,730,16,439,275,13.0579,1.5677
DEFAULT,SMALL,730,424,34,272,-7.9206,-2.6112
MEDIUM,BIG,730,129,277,324,1.3627,0.0000
MEDIUM,DEFAULT,730,439,16,275,-9.4814,-1.5435
MEDIUM,SMALL,730,462,5,263,-15.8422,-4.7562
SMALL,BIG,730,0,473,257,27.8515,5.5533
SMALL,DEFAULT,730,34,424,272,10.0473,2.6812
SMALL,MEDIUM,730,5,462,263,25.8745,4.9937
