method,variant,instance,N,exact_status,exact_optimal,exact_cost,method_cost_mean,method_cost_best,delta_mean,delta_best,gap_mean_pct,gap_best_pct,runtime_mean
ga,BIG,augerat_A_n32_k5,31,mem_limit,0,6764.4224,8671.4877,8666.0802,1907.0654,1901.6578,28.1926,28.1126,6.3167
ga,BIG,augerat_A_n37_k5,36,time_limit,0,6225.2615,8453.8769,8415.0698,2228.6154,2189.8084,35.7995,35.1762,7.4633
ga,BIG,augerat_A_n45_k6,44,mem_limit,0,10679.9367,11792.9464,11710.1318,1113.0097,1030.1951,10.4215,9.6461,9.2327
ga,BIG,augerat_A_n54_k7,53,time_limit,0,12760.8000,13217.8354,13097.1217,457.0354,336.3217,3.5816,2.6356,11.3213
ga,BIG,augerat_A_n60_k9,59,time_limit,0,15088.8010,16637.6302,16487.5998,1548.8292,1398.7988,10.2648,9.2704,12.9101
ga,BIG,augerat_A_n80_k10,79,time_limit,0,20194.6107,19088.2993,19032.4333,-1106.3114,-1162.1774,-5.4783,-5.7549,17.5967
ga,BIG,ex1_1v_feasible,2,optimal,1,96.6421,96.6421,96.6421,0.0000,0.0000,0.0000,0.0000,0.8908
ga,BIG,ex3_3v_all_feasible,3,optimal,1,167.0000,167.0000,167.0000,0.0000,0.0000,0.0000,0.0000,1.1800
ga,BIG,ex5_3v_one_used_feasible,3,optimal,1,128.2990,128.2990,128.2990,0.0000,0.0000,0.0000,0.0000,1.1435
ga,BIG,hfvrp_n001_m03_s01,1,optimal,1,129.4194,129.4194,129.4194,0.0000,0.0000,0.0000,0.0000,0.7280
ga,BIG,hfvrp_n001_m03_s02,1,optimal,1,168.9472,168.9472,168.9472,0.0000,0.0000,0.0000,0.0000,0.7305
ga,BIG,hfvrp_n001_m03_s03,1,optimal,1,130.4387,130.4387,130.4387,0.0000,0.0000,0.0000,0.0000,0.7270
ga,BIG,hfvrp_n001_m03_s04,1,optimal,1,122.3868,122.3868,122.3868,0.0000,0.0000,0.0000,0.0000,0.7318
ga,BIG,hfvrp_n001_m03_s05,1,optimal,1,97.7347,97.7347,97.7347,0.0000,0.0000,0.0000,0.0000,0.7344
ga,BIG,hfvrp_n002_m03_s01,2,optimal,1,379.8548,379.8548,379.8548,0.0000,0.0000,0.0000,0.0000,0.9662
ga,BIG,hfvrp_n002_m03_s02,2,optimal,1,149.3690,149.3690,149.3690,0.0000,0.0000,0.0000,0.0000,0.9376
