method,instance,runs,cost_mean,cost_std,runtime_mean
exact,augerat_A_n32_k5,1,6764.4224,0,13963.1884
exact,augerat_A_n37_k5,1,6225.2615,0,18000.0050
exact,augerat_A_n45_k6,1,10679.9367,0,13327.9022
exact,augerat_A_n54_k7,1,12760.8000,0,18000.0277
exact,augerat_A_n60_k9,1,15088.8010,0,18000.0497
exact,augerat_A_n80_k10,1,20194.6107,0,18000.0478
exact,ex1_1v_feasible,1,96.6421,0,0.0050
exact,ex3_3v_all_feasible,1,167.0000,0,0.0007
exact,ex5_3v_one_used_feasible,1,128.2990,0,0.0056
exact,hfvrp_n001_m03_s01,1,129.4194,0,0.0006
exact,hfvrp_n001_m03_s02,1,168.9472,0,0.0009
exact,hfvrp_n001_m03_s03,1,130.4387,0,0.0006
exact,hfvrp_n001_m03_s04,1,122.3868,0,0.0007
exact,hfvrp_n001_m03_s05,1,97.7347,0,0.0010
exact,hfvrp_n002_m03_s01,1,379.8548,0,0.0051
exact,hfvrp_n002_m03_s02,1,149.3690,0,0.0069
exact,hfvrp_n002_m03_s03,1,191.6438,0,0.0049
exact,hfvrp_n002_m03_s04,1,183.4134,0,0.0061
exact,hfvrp_n002_m03_s05,1,297.7926,0,0.0052
exact,hfvrp_n005_m03_s01,1,386.6674,0,0.0355
exact,hfvrp_n005_m03_s02,1,402.6410,0,0.0401
exact,hfvrp_n005_m03_s03,1,444.7348,0,0.0448
exact,hfvrp_n005_m03_s04,1,350.4459,0,0.0513
exact,hfvrp_n005_m03_s05,1,428.9074,0,0.0830
exact,hfvrp_n010_m03_s01,1,583.3964,0,3.0473
exact,hfvrp_n010_m03_s02,1,621.1946,0,5.3060
exact,hfvrp_n010_m03_s03,1,725.6380,0,12.7284
exact,hfvrp_n010_m03_s04,1,655.7316,0,21.4066
exact,hfvrp_n010_m03_s05,1,645.7612,0,7.9970
exact,hfvrp_n015_m03_s01,1,896.1105,0,2163.4596
exact,hfvrp_n015_m03_s02,1,889.5634,0,6104.9022
exact,hfvrp_n015_m03_s03,1,663.0746,0,1155.1010
exact,hfvrp_n015_m03_s04,1,1164.8686,0,18000.0031
exact,hfvrp_n015_m03_s05,1,817.5518,0,96.3158
exact,hfvrp_n020_m04_s01,1,979.1195,0,18000.0015
exact,hfvrp_n020_m04_s02,1,984.3551,0,18000.0021
exact,hfvrp_n020_m04_s03,1,1158.4094,0,18000.0061
exact,hfvrp_n020_m04_s04,1,1118.1304,0,18000.0048
exact,hfvrp_n020_m04_s05,1,1104.1577,0,18000.0025
exact,hfvrp_n030_m06_s01,1,2028.9442,0,10148.4094
exact,hfvrp_n030_m06_s02,1,1743.1397,0,8564.4945
exact,hfvrp_n030_m06_s03,1,1681.4655,0,18000.0034
exact,hfvrp_n030_m06_s04,1,1692.7066,0,7535.0442
exact,hfvrp_n030_m06_s05,1,1679.0015,0,18000.0037
exact,hfvrp_n050_m10_s01,1,3781.9886,0,12339.3173
exact,hfvrp_n050_m10_s02,1,4610.8568,0,11671.7028
exact,hfvrp_n050_m10_s03,1,3555.9715,0,18000.0253
exact,hfvrp_n050_m10_s04,1,3503.1811,0,14512.6314
exact,hfvrp_n050_m10_s05,1,4407.8052,0,11460.4083
exact,hfvrp_n075_m15_s01,1,6362.8505,0,14398.4898
exact,hfvrp_n075_m15_s03,1,8550.8785,0,18000.0716
exact,hfvrp_n075_m15_s04,1,7312.6423,0,16137.8001
exact,hfvrp_n075_m15_s05,1,8668.6069,0,18000.0447
exact,hfvrp_n100_m20_s03,1,13090.2577,0,18000.1283
exact,hfvrp_n100_m20_s04,1,11478.9947,0,18000.1438
exact,hfvrp_n100_m20_s05,1,12737.2241,0,18000.1290
ga,augerat_A_n32_k5,48,8734.9922,78.0648,2.1277
ga,augerat_A_n37_k5,48,8557.7081,132.6636,2.5079
ga,augerat_A_n45_k6,48,11980.6238,214.2985,3.1062
ga,augerat_A_n54_k7,48,13422.0080,269.2191,3.8031
ga,augerat_A_n60_k9,48,16882.8905,299.3075,4.3593
ga,augerat_A_n80_k10,48,19471.1468,438.9147,5.9261
ga,ex1_1v_feasible,48,96.6421,0.0000,0.3017
ga,ex3_3v_all_feasible,48,167.0000,0.0000,0.4002
ga,ex5_3v_one_used_feasible,48,128.2990,0.0000,0.3873
ga,hfvrp_n001_m03_s01,48,129.4194,0.0000,0.2470
ga,hfvrp_n001_m03_s02,48,168.9472,0.0000,0.2471
ga,hfvrp_n001_m03_s03,48,130.4387,0.0000,0.2472
ga,hfvrp_n001_m03_s04,48,122.3868,0.0000,0.2473
ga,hfvrp_n001_m03_s05,48,97.7347,0.0000,0.2485
ga,hfvrp_n002_m03_s01,48,379.8548,0.0000,0.3271
ga,hfvrp_n002_m03_s02,48,149.3690,0.0000,0.3180
ga,hfvrp_n002_m03_s03,48,191.6438,0.0000,0.3294
ga,hfvrp_n002_m03_s04,48,183.8014,0.0000,0.3175
ga,hfvrp_n002_m03_s05,48,381.7497,0.0000,0.3163
ga,hfvrp_n005_m03_s01,48,386.6674,0.0000,0.4798
ga,hfvrp_n005_m03_s02,48,414.7710,0.0000,0.4811
ga,hfvrp_n005_m03_s03,48,444.7348,0.0000,0.4860
ga,hfvrp_n005_m03_s04,48,350.4459,0.0000,0.4878
ga,hfvrp_n005_m03_s05,48,435.8034,1.0570,0.4861
ga,hfvrp_n010_m03_s01,48,598.9703,5.0164,0.7498
ga,hfvrp_n010_m03_s02,48,668.4487,10.6414,0.7622
ga,hfvrp_n010_m03_s03,48,745.6662,6.6899,0.7468
ga,hfvrp_n010_m03_s04,48,694.2957,0.0000,0.7414
ga,hfvrp_n010_m03_s05,48,767.4121,78.6823,0.7575
ga,hfvrp_n015_m03_s01,48,1179.8106,55.5238,0.9968
ga,hfvrp_n015_m03_s02,48,1091.7086,32.2402,1.0050
ga,hfvrp_n015_m03_s03,48,762.8748,15.4689,1.0038
ga,hfvrp_n015_m03_s04,48,1696.3213,5.9020,1.0023
ga,hfvrp_n015_m03_s05,48,926.4468,4.0439,1.0018
ga,hfvrp_n020_m04_s01,48,1112.3407,62.0852,1.3276
ga,hfvrp_n020_m04_s02,48,1096.6649,38.4604,1.3300
ga,hfvrp_n020_m04_s03,48,1409.1262,36.3409,1.3154
ga,hfvrp_n020_m04_s04,48,1410.0441,80.7892,1.3157
ga,hfvrp_n020_m04_s05,48,1322.6992,73.0280,1.3182
ga,hfvrp_n030_m06_s01,48,2337.3937,200.4822,2.0295
ga,hfvrp_n030_m06_s02,48,2101.8440,116.6853,2.0048
ga,hfvrp_n030_m06_s03,48,2006.2787,168.0171,1.9729
ga,hfvrp_n030_m06_s04,48,1991.4213,283.3664,2.0297
ga,hfvrp_n030_m06_s05,48,2008.0701,278.4534,2.0052
ga,hfvrp_n050_m10_s01,48,4589.6427,685.2825,3.4856
