method,N,instances,vehicles_used_mean,fleet_size_mean,utilisation_pct
exact,1,5,1.0,3.0,33.33
exact,2,7,1.4286,2.4286,58.82
exact,3,2,2.0,3.0,66.67
exact,4,1,0.0,3.0,0.0
exact,5,5,2.0,3.0,66.67
exact,10,5,2.4,3.0,80.0
exact,15,5,2.8,3.0,93.33
exact,20,5,3.6,4.0,90.0
ga,1,5,1.0,3.0,33.33
ga,2,7,1.2857,2.4286,52.94
ga,3,2,2.0,3.0,66.67
ga,4,1,2.0,3.0,66.67
ga,5,5,1.8,3.0,60.0
ga,10,5,2.0,3.0,66.67
ga,15,5,2.0,3.0,66.67
ga,20,5,2.0,4.0,50.0
savings,1,5,1.0,3.0,33.33
savings,2,7,1.2857,2.4286,52.94
savings,3,2,2.0,3.0,66.67
savings,4,1,2.0,3.0,66.67
savings,5,5,1.8,3.0,60.0
savings,10,5,2.0,3.0,66.67
savings,15,5,2.0,3.0,66.67
savings,20,5,2.0,4.0,50.0
tabu,1,5,1.0,3.0,33.33
tabu,2,7,1.5714,2.4286,64.71
tabu,3,2,2.0,3.0,66.67
tabu,4,1,2.0,3.0,66.67
tabu,5,5,2.0,3.0,66.67
tabu,10,5,2.2,3.0,73.33
tabu,15,5,2.6,3.0,86.67
tabu,20,5,3.4,4.0,85.0
