method,k_seeds,instances,mean_gap_vs_best_pct,median_gap_vs_best_pct,mean_expected_cost
tabu,1,73,0.0000,0.0000,178367.1026
tabu,2,73,-0.0000,0.0000,178367.1026
tabu,3,73,0.0000,0.0000,178367.1026
tabu,4,73,0.0000,0.0000,178367.1026
tabu,5,73,0.0000,0.0000,178367.1026
tabu,6,73,0.0000,0.0000,178367.1026
tabu,7,73,0.0000,0.0000,178367.1026
tabu,8,73,0.0000,0.0000,178367.1026
tabu,9,73,-0.0000,0.0000,178367.1026
tabu,10,73,-0.0000,0.0000,178367.1026
tabu,11,73,0.0000,0.0000,178367.1026
tabu,12,73,0.0000,0.0000,178367.1026
ga,1,73,21.3433,8.1951,207957.6161
ga,2,73,10.2306,3.2145,193495.0995
ga,3,73,6.1641,1.4296,187638.0793
ga,4,73,4.3276,0.9486,184789.2380
ga,5,73,3.3671,0.8266,183229.4128
ga,6,73,2.8021,0.6881,182288.3427
ga,7,73,2.4339,0.6041,181668.7977
ga,8,73,2.1717,0.5584,181227.7871
ga,9,73,1.9708,0.5303,180892.4542
ga,10,73,1.8083,0.5103,180623.8068
ga,11,73,1.6715,0.4940,180399.9018
ga,12,73,1.5532,0.4794,180207.7011
ga,13,73,1.4487,0.4655,180039.0080
ga,14,73,1.3551,0.4520,179888.3859
ga,15,73,1.2704,0.4386,179752.0568
ga,16,73,1.1929,0.4253,179627.2941
ga,17,73,1.1214,0.4120,179512.0711
ga,18,73,1.0552,0.3987,179404.8461
ga,19,73,0.9934,0.3854,179304.4237
ga,20,73,0.9354,0.3671,179209.8618
ga,21,73,0.8808,0.3485,179120.4072
ga,22,73,0.8292,0.3306,179035.4490
ga,23,73,0.7803,0.3133,178954.4847
ga,24,73,0.7337,0.2967,178877.0963
ga,25,73,0.6893,0.2671,178802.9309
ga,26,73,0.6468,0.2355,178731.6874
ga,27,73,0.6061,0.2075,178663.1062
ga,28,73,0.5670,0.1827,178596.9604
ga,29,73,0.5294,0.1607,178533.0506
ga,30,73,0.4931,0.1411,178471.1997
ga,31,73,0.4582,0.1239,178411.2493
ga,32,73,0.4244,0.1085,178353.0569
ga,33,73,0.3917,0.0949,178296.4938
ga,34,73,0.3601,0.0828,178241.4431
ga,35,73,0.3295,0.0720,178187.7983
ga,36,73,0.2997,0.0624,178135.4625
ga,37,73,0.2709,0.0539,178084.3472
ga,38,73,0.2428,0.0462,178034.3718
ga,39,73,0.2155,0.0376,177985.4625
ga,40,73,0.1890,0.0313,177937.5528
ga,41,73,0.1632,0.0269,177890.5820
ga,42,73,0.1380,0.0225,177844.4959
ga,43,73,0.1135,0.0179,177799.2456
ga,44,73,0.0897,0.0137,177754.7880
ga,45,73,0.0664,0.0099,177711.0852
ga,46,73,0.0437,0.0063,177668.1047
ga,47,73,0.0216,0.0030,177625.8188
ga,48,73,0.0000,0.0000,177584.2049
