method,N,runs,cost_mean,cost_std,gap_mean_pct,gap_std_pct,runtime_mean,runtime_std
exact,1,5,142.4570,29.0654,0.0000,0.0000,0.0007,0.0001
exact,2,6,249.9230,131.4840,0.0000,0.0000,0.0052,0.0009
exact,3,2,156.3995,15.6005,0.0000,0.0000,0.0031,0.0025
exact,5,5,441.9915,18.6811,0.0000,0.0000,0.0504,0.0270
exact,10,5,767.9111,76.3139,0.0000,0.0000,29.8242,16.9882
exact,15,5,1147.9162,281.1399,0.0000,0.0000,5751.0214,6565.3407
exact,20,5,1334.4368,137.1120,0.0000,0.0000,15403.5461,5192.9136
exact,30,5,2166.7994,155.3208,0.0000,0.0000,14693.1937,4485.3098
exact,31,1,7283.8028,0.0000,0.0000,0.0000,11827.1509,0.0000
exact,36,1,6398.7351,0.0000,0.0000,0.0000,18000.0088,0.0000
exact,44,1,10877.9549,0.0000,0.0000,0.0000,18000.0258,0.0000
exact,50,5,5174.8518,728.9445,0.0000,0.0000,18000.0312,0.0068
exact,53,1,14362.7453,0.0000,0.0000,0.0000,18000.0163,0.0000
exact,59,1,15785.5624,0.0000,0.0000,0.0000,18000.0220,0.0000
exact,75,3,9985.2277,987.8615,0.0000,0.0000,18000.0617,0.0116
exact,100,3,22916.3623,4926.6849,0.0000,0.0000,18000.1231,0.0346
exact,119,1,3926412.6661,0.0000,0.0000,0.0000,18000.0734,0.0000
exact,150,1,68464.2140,0.0000,0.0000,0.0000,18000.3860,0.0000
ga,1,240,142.4570,29.0654,0.0000,0.0000,0.2486,0.2961
ga,2,288,269.5288,151.1547,5.7211,12.7028,0.3200,0.3815
ga,3,96,156.3995,15.6005,0.0000,0.0000,0.3961,0.4728
ga,5,240,450.3949,27.9368,1.8234,2.2481,0.4878,0.5825
ga,10,240,831.8958,111.7193,8.2720,9.3493,0.7528,0.8994
ga,15,240,1621.3837,691.3885,35.9903,22.8844,1.0057,1.2021
ga,20,240,1716.5744,270.9126,28.3429,12.7354,1.3307,1.5920
ga,30,240,2736.5926,329.6455,26.4107,13.4622,2.0271,2.4306
ga,31,48,9177.6352,81.5862,26.0006,1.1201,2.1328,2.5600
ga,36,48,8864.6076,144.1003,38.5369,2.2520,2.5085,3.0141
ga,44,48,12274.0360,265.2040,12.8340,2.4380,3.1190,3.7492
ga,50,240,7033.7786,1577.9326,37.0603,30.6949,3.4928,4.1887
ga,53,48,14133.2189,288.2234,-1.5981,2.0067,3.8070,4.5741
ga,59,48,17649.7040,431.2402,11.8092,2.7319,4.3547,5.2418
ga,75,240,11195.2728,3434.1036,6.0632,29.6585,5.7241,6.8760
ga,79,48,20609.3523,611.1086,,,5.9754,7.1923
ga,100,288,715753.5032,1566258.9861,-12.9048,35.9390,8.0782,9.6863
ga,105,48,4236480.7661,471281.0167,,,8.0321,9.5991
ga,109,48,2498089.3384,462486.2648,,,8.5182,10.2006
ga,114,1,2290469.7025,0.0000,,,27.9946,0.0000
ga,119,48,3462106.2462,302375.3886,-11.8252,7.7011,8.5473,10.2159
ga,150,240,36298.0084,14461.0963,-45.1263,22.8128,14.7559,17.6890
ga,200,240,58987.6574,24597.2573,,,26.8537,32.1744
savings,1,5,142.4570,29.0654,0.0000,0.0000,0.0000,0.0000
savings,2,6,269.5288,151.1547,5.7211,12.7028,0.0000,0.0000
savings,3,2,156.3995,15.6005,0.0000,0.0000,0.0000,0.0000
savings,5,5,483.0127,47.7019,9.0705,6.7620,0.0000,0.0000
savings,10,5,866.1551,80.7970,13.4403,11.5658,0.0000,0.0000
savings,15,5,1798.1610,772.5238,50.4538,28.1548,0.0001,0.0000
savings,20,5,2080.0121,360.6872,54.8984,14.2529,0.0001,0.0001
savings,30,5,2896.6152,243.9467,33.6759,6.2174,0.0002,0.0001
savings,31,1,9131.3499,0.0000,25.3651,0.0000,0.0001,0.0000
savings,36,1,8609.0042,0.0000,34.5423,0.0000,0.0001,0.0000
savings,44,1,11890.2483,0.0000,9.3059,0.0000,0.0002,0.0000
savings,50,5,8287.0412,1110.2048,60.6380,12.5164,0.0018,0.0009
savings,53,1,14676.9933,0.0000,2.1879,0.0000,0.0002,0.0000
savings,59,1,16393.4516,0.0000,3.8509,0.0000,0.0004,0.0000
savings,75,5,10257.0914,1430.0106,-0.0008,11.5633,0.0016,0.0008
savings,79,1,19554.4547,0.0000,,,0.0011,0.0000
savings,100,6,636620.9084,1387756.5328,-27.0529,15.1154,0.0063,0.0040
savings,105,1,4046491.9885,0.0000,,,0.0006,0.0000
savings,109,1,2256210.1999,0.0000,,,0.0017,0.0000
savings,119,1,3230183.7225,0.0000,-17.7319,0.0000,0.0010,0.0000
savings,150,5,30101.9643,2924.3237,-53.5092,0.0000,0.0183,0.0032
savings,200,5,37811.1553,2793.8390,,,0.0217,0.0050
tabu,1,60,142.4570,29.0654,0.0000,0.0000,0.0002,0.0001
tabu,2,72,249.9230,131.4840,0.0000,0.0000,0.0004,0.0003
tabu,3,24,156.3995,15.6005,0.0000,0.0000,0.0001,0.0000
tabu,5,60,448.7281,24.3811,1.5080,3.0159,0.0008,0.0010
tabu,10,60,770.1078,77.4645,0.2731,0.3538,0.0030,0.0023
tabu,15,60,1169.9731,280.4417,1.9700,2.4542,0.0155,0.0063
tabu,20,60,1402.5849,142.0131,5.1517,2.6453,0.0302,0.0033
tabu,30,60,2168.8507,143.7766,0.1922,3.3928,0.0884,0.0200
tabu,31,12,9124.5654,0.0000,25.2720,0.0000,0.0762,0.0016
tabu,36,12,8509.5392,0.0000,32.9878,0.0000,0.1331,0.0016
tabu,44,12,11767.5919,0.0000,8.1783,0.0000,0.2060,0.0015
tabu,50,60,4506.7354,492.1470,-12.3731,6.6092,0.3584,0.0689
tabu,53,12,13656.1038,0.0000,-4.9200,0.0000,0.3447,0.0020
tabu,59,12,16310.5747,0.0000,3.3259,0.0000,0.4595,0.0027
tabu,75,60,7199.9607,1058.8618,-29.2940,8.9901,1.3835,0.3031
tabu,79,12,19436.4053,0.0000,,,0.9538,0.0031
tabu,100,72,623090.5353,1368916.3207,-48.8304,10.1723,2.8950,0.6236
tabu,105,12,3745073.3039,0.0000,,,2.5494,0.0181
