method,N,n_runs,n_feasible,n_infeasible,feasibility_rate_pct,runtime_mean_all,runtime_mean_feasible,runtime_mean_infeasible,cost_mean_feasible
exact,1,5,5,0,100.00,0.0010,0.0010,,117.1137
exact,2,7,6,1,85.71,0.0048,0.0055,0.0005,182.9823
exact,3,2,2,0,100.00,0.0046,0.0046,,134.7990
exact,4,1,0,1,0.00,0.0012,,0.0012,
exact,5,5,5,0,100.00,0.0614,0.0614,,358.9474
exact,10,5,5,0,100.00,0.8700,0.8700,,504.5492
exact,15,5,5,0,100.00,9.0576,9.0576,,547.9524
exact,20,5,5,0,100.00,58.6489,58.6489,,665.0376
exact,30,5,5,0,100.00,15364.7569,15364.7569,,1135.8380
exact,31,1,1,0,100.00,15347.1244,15347.1244,,6114.9267
exact,36,1,1,0,100.00,14998.3431,14998.3431,,5930.6340
exact,44,1,1,0,100.00,18000.0090,18000.0090,,10158.2863
exact,50,5,5,0,100.00,16360.4034,16360.4034,,1904.1869
exact,53,1,1,0,100.00,18000.0152,18000.0152,,12547.8285
exact,59,1,1,0,100.00,18000.0731,18000.0731,,14288.4774
exact,75,5,5,0,100.00,17151.6312,17151.6312,,4174.2427
exact,79,1,1,0,100.00,18000.1905,18000.1905,,17767.5135
exact,100,6,5,1,83.33,18001.8134,18002.1550,18000.1053,6127.1039
exact,105,1,0,1,0.00,18000.0481,,18000.0481,
exact,109,1,1,0,100.00,18000.0598,18000.0598,,2903651.1590
exact,114,1,0,1,0.00,18000.0461,,18000.0461,
exact,119,1,0,1,0.00,18000.0242,,18000.0242,
exact,150,5,0,5,0.00,18000.4287,,18000.4287,
exact,200,5,0,5,0.00,18000.4610,,18000.4610,
ga,1,240,240,0,100.00,0.2499,0.2499,,117.1137
ga,2,336,288,48,85.71,0.3223,0.3247,0.3078,191.4915
ga,3,96,96,0,100.00,0.3971,0.3971,,134.7990
ga,4,48,0,48,0.00,0.4671,,0.4671,
ga,5,240,240,0,100.00,0.4917,0.4917,,359.2114
ga,10,240,240,0,100.00,0.7631,0.7631,,532.6207
ga,15,240,240,0,100.00,1.0168,1.0168,,568.7168
ga,20,240,240,0,100.00,1.3565,1.3565,,692.6773
ga,30,240,240,0,100.00,2.0282,2.0282,,1266.4976
ga,31,48,48,0,100.00,2.1271,2.1271,,8279.3904
ga,36,48,48,0,100.00,2.4859,2.4859,,8196.3312
ga,44,48,48,0,100.00,3.1122,3.1122,,11538.0157
ga,50,240,240,0,100.00,3.4867,3.4867,,2273.5355
ga,53,48,48,0,100.00,3.8250,3.8250,,12597.0335
ga,59,48,48,0,100.00,4.3262,4.3262,,16052.1664
ga,75,240,240,0,100.00,5.7005,5.7005,,4729.0245
ga,79,48,48,0,100.00,5.9905,5.9905,,18146.2811
ga,100,288,288,0,100.00,7.9796,7.9796,,692978.9779
ga,105,48,48,0,100.00,8.1279,8.1279,,4209183.6981
ga,109,48,48,0,100.00,8.5454,8.5454,,2577508.7730
ga,114,48,0,48,0.00,9.1871,,9.1871,
ga,119,48,48,0,100.00,8.5923,8.5923,,3410064.6074
ga,150,240,240,0,100.00,14.2548,14.2548,,14586.0019
ga,200,240,240,0,100.00,26.9320,26.9320,,26726.2573
savings,1,5,5,0,100.00,0.0000,0.0000,,117.1137
savings,2,7,6,1,85.71,0.0000,0.0000,0.0000,191.4915
savings,3,2,2,0,100.00,0.0000,0.0000,,134.7990
savings,4,1,0,1,0.00,0.0000,,0.0000,
savings,5,5,5,0,100.00,0.0000,0.0000,,373.1099
savings,10,5,5,0,100.00,0.0000,0.0000,,527.7226
savings,15,5,5,0,100.00,0.0000,0.0000,,567.3544
savings,20,5,5,0,100.00,0.0001,0.0001,,722.9184
savings,30,5,5,0,100.00,0.0002,0.0002,,1251.4015
savings,31,1,1,0,100.00,0.0001,0.0001,,8223.4520
