method,instance,N,M,beta,seed,cost_operational,cost_priority,cost_total,lower_bound,root_lp_bound,gap,optimal,feasible,status,num_nodes,num_iterations,num_solutions,runtime_sec,variant
exact,ex2_1v_infeasible,2,1,1.000000,42,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,infeasible,0,0,0,0.000463,
exact,ex1_1v_feasible,2,1,1.000000,42,84.142136,50.000000,134.142136,134.142136,78.556349,0.000000,1,1,optimal,0,2,2,0.003497,
exact,ex3_3v_all_feasible,3,3,1.000000,42,162.000000,20.000000,182.000000,182.000000,154.363591,0.000000,1,1,optimal,0,0,1,0.000643,
exact,ex4_3v_infeasible,4,3,1.000000,42,0.000000,0.000000,0.000000,0.000000,169.094658,1.000000,0,0,infeasible,0,0,0,0.001014,
exact,hfvrp_n001_m03_s01,1,3,1.000000,42,87.334995,168.337487,255.672481,255.672481,255.672481,0.000000,1,1,optimal,0,0,1,0.000555,
exact,ex5_3v_one_used_feasible,3,3,1.000000,42,115.798990,50.000000,165.798990,165.798990,95.597980,0.000000,1,1,optimal,0,10,2,0.006084,
exact,hfvrp_n001_m03_s02,1,3,1.000000,42,156.310634,50.546098,206.856732,206.856732,206.856732,0.000000,1,1,optimal,0,0,1,0.000671,
exact,hfvrp_n001_m03_s03,1,3,1.000000,42,130.438737,0.000000,130.438737,130.438737,130.438737,0.000000,1,1,optimal,0,0,1,0.000749,
exact,hfvrp_n001_m03_s04,1,3,1.000000,42,122.386776,0.000000,122.386776,122.386776,122.386776,0.000000,1,1,optimal,0,0,1,0.000715,
exact,hfvrp_n001_m03_s05,1,3,1.000000,42,89.097550,34.548775,123.646325,123.646325,123.646325,0.000000,1,1,optimal,0,0,1,0.000606,
exact,hfvrp_n002_m03_s01,2,3,1.000000,42,262.852855,468.007587,730.860441,730.860441,258.097137,0.000000,1,1,optimal,0,0,3,0.004770,
exact,hfvrp_n002_m03_s02,2,3,1.000000,42,139.033247,41.343143,180.376390,180.376390,130.817821,0.000000,1,1,optimal,0,12,3,0.006015,
exact,hfvrp_n002_m03_s03,2,3,1.000000,42,185.309216,25.338303,210.647519,210.647519,155.417444,0.000000,1,1,optimal,0,0,3,0.006492,
exact,hfvrp_n002_m03_s04,2,3,1.000000,42,174.552021,35.445494,209.997514,209.997514,142.481649,0.000000,1,1,optimal,0,19,3,0.006196,
exact,hfvrp_n002_m03_s05,2,3,1.000000,42,252.004246,183.153460,435.157706,435.157706,216.906774,0.000000,1,1,optimal,0,9,2,0.005343,
exact,hfvrp_n005_m03_s01,5,3,1.000000,42,350.283936,145.533835,495.817771,495.817771,267.549103,0.000000,1,1,optimal,37,230,5,0.020502,
exact,hfvrp_n005_m03_s02,5,3,1.000000,42,358.545666,176.381442,534.927108,534.927108,289.508762,0.000000,1,1,optimal,92,608,3,0.037453,
exact,hfvrp_n005_m03_s03,5,3,1.000000,42,444.734799,0.000000,444.734799,438.931910,325.638053,0.013048,1,1,optimal,0,224,3,0.045877,
exact,hfvrp_n005_m03_s04,5,3,1.000000,42,278.576281,287.478473,566.054754,566.054754,158.921111,0.000000,1,1,optimal,166,869,8,0.052856,
exact,hfvrp_n005_m03_s05,5,3,1.000000,42,384.694704,176.850818,561.545522,561.545522,301.150444,0.000000,1,1,optimal,195,1121,4,0.078765,
exact,hfvrp_n010_m03_s01,10,3,1.000000,42,515.549909,271.386050,786.935959,786.935959,315.594584,0.000000,1,1,optimal,3335,36055,9,3.665760,
exact,hfvrp_n010_m03_s02,10,3,1.000000,42,528.820236,418.059583,946.879819,946.879819,309.276307,0.000000,1,1,optimal,27764,273797,10,23.264956,
exact,hfvrp_n010_m03_s05,10,3,1.000000,42,602.360076,406.212007,1008.572084,1008.572084,340.923866,0.000000,1,1,optimal,36399,429288,10,34.858564,
exact,hfvrp_n010_m03_s03,10,3,1.000000,42,671.729893,464.793331,1136.523224,1136.522412,425.188513,0.000001,1,1,optimal,50363,523373,13,41.585453,
exact,hfvrp_n010_m03_s04,10,3,1.000000,42,567.788112,393.900677,961.688789,961.688789,354.592371,0.000000,1,1,optimal,110089,1184418,4,94.146427,
exact,hfvrp_n015_m03_s05,15,3,1.000000,42,661.850404,696.171785,1358.022189,1358.022189,352.825609,0.000000,1,1,optimal,412840,7088414,30,635.988574,
exact,hfvrp_n015_m03_s01,15,3,1.000000,42,637.317432,1035.172168,1672.489600,1672.488552,418.056740,0.000000,1,1,optimal,1349504,21309108,24,2563.161449,
exact,hfvrp_n015_m03_s03,15,3,1.000000,42,532.308784,523.471010,1055.779794,1055.779091,336.962556,0.000001,1,1,optimal,2680852,40342004,6,4803.663758,
exact,hfvrp_n020_m04_s04,20,4,1.000000,42,924.099233,1210.826218,2134.925451,1029.370464,507.487641,0.517842,0,1,mem_limit,1406824,30440385,38,5534.174448,
exact,hfvrp_n015_m03_s02,15,3,1.000000,42,646.982376,970.324017,1617.306394,1496.342666,369.693351,0.074793,0,1,time_limit,8312650,100921063,26,18000.003772,
exact,hfvrp_n015_m03_s04,15,3,1.000000,42,704.632524,1887.840354,2592.472878,1949.569562,403.518958,0.247988,0,1,time_limit,8667357,120794294,24,18000.002531,
exact,hfvrp_n020_m04_s01,20,4,1.000000,42,829.731766,635.143270,1464.875037,1116.532944,484.079248,0.237796,0,1,time_limit,2945793,114040128,38,18000.003442,
exact,hfvrp_n020_m04_s02,20,4,1.000000,42,816.625537,782.869026,1599.494563,1084.431367,516.395425,0.322016,0,1,time_limit,3358219,94452557,31,18000.001203,
exact,hfvrp_n020_m04_s03,20,4,1.000000,42,805.966514,1357.873724,2163.840238,1085.540350,462.677123,0.498327,0,1,time_limit,3950649,104912767,41,18000.003546,
exact,hfvrp_n030_m06_s01,30,6,1.000000,42,1574.922718,2220.725221,3795.647939,1242.514465,682.168747,0.672648,0,1,mem_limit,1276095,48759474,38,9408.453164,
