method,k_seeds,instances,mean_gap_vs_best_pct,median_gap_vs_best_pct,mean_expected_cost
tabu,1,73,-0.0000,0.0000,181365.9208
tabu,2,73,-0.0000,0.0000,181365.9208
tabu,3,73,0.0000,0.0000,181365.9208
tabu,4,73,0.0000,0.0000,181365.9208
tabu,5,73,0.0000,0.0000,181365.9208
tabu,6,73,-0.0000,0.0000,181365.9208
tabu,7,73,-0.0000,0.0000,181365.9208
tabu,8,73,-0.0000,0.0000,181365.9208
tabu,9,73,0.0000,0.0000,181365.9208
tabu,10,73,-0.0000,0.0000,181365.9208
tabu,11,73,0.0000,0.0000,181365.9208
tabu,12,73,0.0000,0.0000,181365.9208
ga,1,74,25.2713,9.2397,246043.6885
ga,2,74,11.4567,4.5693,228042.0647
ga,3,74,6.5905,3.1291,221523.1474
ga,4,73,4.5223,2.6643,189239.6354
ga,5,73,3.4238,1.9777,187608.5668
ga,6,73,2.7921,1.5181,186631.8930
ga,7,73,2.3878,1.4129,185986.8626
ga,8,73,2.1036,1.2272,185522.2117
ga,9,73,1.8879,1.0822,185163.4868
ga,10,73,1.7146,0.9634,184872.2933
ga,11,73,1.5695,0.8629,184627.7158
ga,12,73,1.4446,0.7760,184417.5759
ga,13,73,1.3350,0.6999,184234.2353
ga,14,73,1.2373,0.6324,184072.5415
ga,15,73,1.1495,0.5722,183928.7943
ga,16,73,1.0697,0.5181,183800.2043
ga,17,73,0.9969,0.4694,183684.5932
ga,18,73,0.9299,0.4253,183580.2156
ga,19,73,0.8681,0.3853,183485.6471
ga,20,73,0.8107,0.3489,183399.7076
ga,21,73,0.7572,0.3156,183321.4081
ga,22,73,0.7073,0.2900,183249.9112
ga,23,73,0.6605,0.2614,183184.5012
ga,24,73,0.6166,0.2356,183124.5619
ga,25,73,0.5752,0.2087,183069.5583
ga,26,73,0.5360,0.1873,183019.0234
ga,27,73,0.4990,0.1677,182972.5465
ga,28,73,0.4640,0.1497,182929.7647
ga,29,73,0.4306,0.1308,182890.3558
ga,30,73,0.3989,0.1088,182854.0323
ga,31,73,0.3687,0.0988,182820.5366
ga,32,73,0.3398,0.0864,182789.6373
ga,33,73,0.3122,0.0742,182761.1257
ga,34,73,0.2857,0.0634,182734.8132
ga,35,73,0.2603,0.0537,182710.5291
ga,36,73,0.2360,0.0485,182688.1182
ga,37,73,0.2125,0.0435,182667.4398
ga,38,73,0.1899,0.0374,182648.3655
ga,39,73,0.1681,0.0312,182630.7785
ga,40,73,0.1470,0.0257,182614.5724
ga,41,73,0.1267,0.0213,182599.6499
ga,42,73,0.1070,0.0182,182585.9222
ga,43,73,0.0878,0.0142,182573.3084
ga,44,73,0.0693,0.0094,182561.7342
ga,45,73,0.0512,0.0065,182551.1320
ga,46,73,0.0337,0.0040,182541.4395
ga,47,73,0.0166,0.0019,182532.6002
ga,48,73,0.0000,0.0000,182524.5618
