method,variant,instance,N,exact_status,exact_optimal,exact_cost,method_cost_mean,method_cost_best,delta_mean,delta_best,gap_mean_pct,gap_best_pct,runtime_mean
ga,BIG,augerat_A_n32_k5,31,time_limit,0,9749.7887,11563.4564,11441.4676,1813.6677,1691.6789,18.6021,17.3509,6.3470
ga,BIG,augerat_A_n37_k5,36,time_limit,0,8594.0220,10239.8141,10087.3778,1645.7921,1493.3558,19.1504,17.3767,7.5249
ga,BIG,augerat_A_n45_k6,44,time_limit,0,13458.2811,13596.9520,13447.9662,138.6709,-10.3149,1.0304,-0.0766,9.3158
ga,BIG,augerat_A_n54_k7,53,time_limit,0,18953.6428,17884.5729,17659.9983,-1069.0700,-1293.6445,-5.6404,-6.8253,11.3891
ga,BIG,augerat_A_n60_k9,59,time_limit,0,20262.1567,21258.5290,21020.4653,996.3723,758.3086,4.9174,3.7425,13.0152
ga,BIG,augerat_A_n80_k10,79,time_limit,0,29865.8273,26005.4695,25763.2395,-3860.3578,-4102.5878,-12.9257,-13.7367,17.9886
ga,BIG,ex1_1v_feasible,2,optimal,1,184.1421,184.1421,184.1421,0.0000,0.0000,0.0000,0.0000,0.8928
ga,BIG,ex3_3v_all_feasible,3,optimal,1,202.0000,202.0000,202.0000,0.0000,0.0000,0.0000,0.0000,1.1871
ga,BIG,ex5_3v_one_used_feasible,3,optimal,1,215.7990,215.7990,215.7990,0.0000,0.0000,0.0000,0.0000,1.1494
ga,BIG,hfvrp_n001_m03_s01,1,optimal,1,424.0100,424.0100,424.0100,0.0000,0.0000,0.0000,0.0000,0.7333
ga,BIG,hfvrp_n001_m03_s02,1,optimal,1,257.4028,257.4028,257.4028,0.0000,0.0000,0.0000,0.0000,0.7396
ga,BIG,hfvrp_n001_m03_s03,1,optimal,1,130.4387,130.4387,130.4387,0.0000,0.0000,0.0000,0.0000,0.7311
ga,BIG,hfvrp_n001_m03_s04,1,optimal,1,122.3868,122.3868,122.3868,0.0000,0.0000,0.0000,0.0000,0.7346
ga,BIG,hfvrp_n001_m03_s05,1,optimal,1,158.1951,158.1951,158.1951,0.0000,0.0000,0.0000,0.0000,0.7353
ga,BIG,hfvrp_n002_m03_s01,2,optimal,1,1198.8680,1198.8680,1198.8680,0.0000,0.0000,0.0000,0.0000,0.9788
