method,instance,runs,cost_mean,cost_std,runtime_mean
exact,augerat_A_n32_k5,1,9749.7887,0,18000.0151
exact,augerat_A_n37_k5,1,8594.0220,0,18000.0143
exact,augerat_A_n45_k6,1,13458.2811,0,18000.0192
exact,augerat_A_n54_k7,1,18953.6428,0,18000.0138
exact,augerat_A_n60_k9,1,20262.1567,0,18000.0182
exact,augerat_A_n80_k10,1,29865.8273,0,18000.0509
exact,ex1_1v_feasible,1,184.1421,0,0.0031
exact,ex3_3v_all_feasible,1,202.0000,0,0.0006
exact,ex5_3v_one_used_feasible,1,215.7990,0,0.0063
exact,hfvrp_n001_m03_s01,1,424.0100,0,0.0005
exact,hfvrp_n001_m03_s02,1,257.4028,0,0.0007
exact,hfvrp_n001_m03_s03,1,130.4387,0,0.0006
exact,hfvrp_n001_m03_s04,1,122.3868,0,0.0009
exact,hfvrp_n001_m03_s05,1,158.1951,0,0.0009
exact,hfvrp_n002_m03_s01,1,1198.8680,0,0.0060
exact,hfvrp_n002_m03_s02,1,221.7195,0,0.0061
exact,hfvrp_n002_m03_s03,1,235.9858,0,0.0049
exact,hfvrp_n002_m03_s04,1,245.4430,0,0.0063
exact,hfvrp_n002_m03_s05,1,618.3112,0,0.0052
exact,hfvrp_n005_m03_s01,1,641.3516,0,0.0234
exact,hfvrp_n005_m03_s02,1,711.3085,0,0.0413
exact,hfvrp_n005_m03_s03,1,444.7348,0,0.0452
exact,hfvrp_n005_m03_s04,1,853.5332,0,0.0423
exact,hfvrp_n005_m03_s05,1,738.3963,0,0.0719
exact,hfvrp_n010_m03_s01,1,1058.3220,0,6.0291
exact,hfvrp_n010_m03_s02,1,1364.9394,0,7.7630
exact,hfvrp_n010_m03_s03,1,1601.3166,0,55.6068
exact,hfvrp_n010_m03_s04,1,1355.5895,0,43.8837
exact,hfvrp_n010_m03_s05,1,1414.7841,0,48.1905
exact,hfvrp_n015_m03_s01,1,2704.7017,0,5516.4708
exact,hfvrp_n015_m03_s02,1,2578.2562,0,18000.0013
exact,hfvrp_n015_m03_s03,1,1579.2508,0,18000.0018
exact,hfvrp_n015_m03_s04,1,4480.3132,0,18000.0027
exact,hfvrp_n015_m03_s05,1,2022.7347,0,1222.2646
exact,hfvrp_n020_m04_s01,1,2101.2270,0,18000.0035
exact,hfvrp_n020_m04_s02,1,2396.2743,0,18000.0038
exact,hfvrp_n020_m04_s03,1,3400.3544,0,18000.0032
exact,hfvrp_n020_m04_s04,1,3228.7835,0,18000.0035
exact,hfvrp_n020_m04_s05,1,3036.4669,0,18000.0050
exact,hfvrp_n030_m06_s01,1,5236.8733,0,18000.0093
exact,hfvrp_n030_m06_s02,1,4531.7502,0,18000.0073
exact,hfvrp_n030_m06_s03,1,3760.8985,0,18000.0089
exact,hfvrp_n030_m06_s04,1,4243.1308,0,18000.0037
exact,hfvrp_n030_m06_s05,1,3868.7517,0,18000.0110
exact,hfvrp_n050_m10_s01,1,9133.6323,0,18000.0302
exact,hfvrp_n050_m10_s02,1,19283.4970,0,18000.0171
exact,hfvrp_n050_m10_s03,1,12736.7572,0,18000.0359
exact,hfvrp_n050_m10_s04,1,10030.5940,0,18000.0462
exact,hfvrp_n050_m10_s05,1,17609.8099,0,18000.0188
exact,hfvrp_n075_m15_s03,1,31581.8479,0,18000.0599
exact,hfvrp_n075_m15_s04,1,23430.0657,0,18000.0666
exact,hfvrp_n075_m15_s05,1,23987.5675,0,18000.0815
exact,hfvrp_n100_m20_s05,1,68042.3131,0,18000.0882
exact,pyvrp_X106_FSMD,1,5079314.6302,0,18000.0984
exact,pyvrp_X115_HVRP,1,3097325.5543,0,18000.0920
exact,pyvrp_X120_FSMF,1,4377147.6800,0,18000.0806
ga,augerat_A_n32_k5,48,11713.6877,230.3142,2.1400
ga,augerat_A_n37_k5,48,10451.4864,309.0633,2.5311
ga,augerat_A_n45_k6,48,13931.3858,448.8111,3.1306
ga,augerat_A_n54_k7,48,18516.0505,732.8461,3.8371
ga,augerat_A_n60_k9,48,21856.8952,747.8898,4.3751
ga,augerat_A_n80_k10,48,27084.2285,1356.5568,6.0473
ga,ex1_1v_feasible,48,184.1421,0.0000,0.3030
ga,ex3_3v_all_feasible,48,202.0000,0.0000,0.4015
ga,ex5_3v_one_used_feasible,48,215.7990,0.0000,0.3897
ga,hfvrp_n001_m03_s01,48,424.0100,0.0000,0.2492
ga,hfvrp_n001_m03_s02,48,257.4028,0.0000,0.2497
ga,hfvrp_n001_m03_s03,48,130.4387,0.0000,0.2494
ga,hfvrp_n001_m03_s04,48,122.3868,0.0000,0.2493
ga,hfvrp_n001_m03_s05,48,158.1951,0.0000,0.2501
ga,hfvrp_n002_m03_s01,48,1198.8680,0.0000,0.3309
ga,hfvrp_n002_m03_s02,48,221.7195,0.0000,0.3203
ga,hfvrp_n002_m03_s03,48,235.9858,0.0000,0.3306
ga,hfvrp_n002_m03_s04,48,245.8310,0.0000,0.3200
ga,hfvrp_n002_m03_s05,48,935.2981,0.0000,0.3197
ga,hfvrp_n005_m03_s01,48,641.3516,0.0000,0.4831
ga,hfvrp_n005_m03_s02,48,739.2593,12.0422,0.4784
ga,hfvrp_n005_m03_s03,48,444.7348,0.0000,0.4895
ga,hfvrp_n005_m03_s04,48,853.5332,0.0000,0.4931
ga,hfvrp_n005_m03_s05,48,811.0402,14.5919,0.4894
ga,hfvrp_n010_m03_s01,48,1080.4049,7.1011,0.7469
ga,hfvrp_n010_m03_s02,48,1426.6646,29.2999,0.7509
ga,hfvrp_n010_m03_s03,48,1732.9389,12.6568,0.7550
ga,hfvrp_n010_m03_s04,48,1818.0675,29.4238,0.7582
ga,hfvrp_n010_m03_s05,48,1771.1491,51.1134,0.7699
ga,hfvrp_n015_m03_s01,48,4789.7124,115.0463,1.0156
ga,hfvrp_n015_m03_s02,48,3541.0625,11.0152,1.0067
ga,hfvrp_n015_m03_s03,48,1826.1752,36.9138,1.0267
ga,hfvrp_n015_m03_s04,48,7620.5613,351.1853,1.0049
ga,hfvrp_n015_m03_s05,48,2374.1653,43.3582,1.0202
ga,hfvrp_n020_m04_s01,48,3064.6306,218.1604,1.3255
ga,hfvrp_n020_m04_s02,48,3148.3303,253.0606,1.3354
ga,hfvrp_n020_m04_s03,48,4901.6269,560.8120,1.3399
ga,hfvrp_n020_m04_s04,48,4778.1660,382.4374,1.3343
ga,hfvrp_n020_m04_s05,48,4764.1944,527.4333,1.3214
ga,hfvrp_n030_m06_s01,48,7297.9956,886.7231,2.0649
ga,hfvrp_n030_m06_s02,48,6428.7066,957.1085,2.0581
ga,hfvrp_n030_m06_s03,48,5265.3853,582.9619,2.0208
ga,hfvrp_n030_m06_s04,48,5270.6891,520.9968,2.0336
ga,hfvrp_n030_m06_s05,48,5526.9126,982.1325,2.0837
ga,hfvrp_n050_m10_s01,48,14851.9255,3802.5088,3.5226
ga,hfvrp_n050_m10_s02,48,22824.9944,6119.1499,3.5809
ga,hfvrp_n050_m10_s03,48,18716.8143,5443.1246,3.5513
ga,hfvrp_n050_m10_s04,48,16299.0376,3060.6840,3.5084
ga,hfvrp_n050_m10_s05,48,17425.3471,3877.3307,3.5227
ga,hfvrp_n075_m15_s01,48,17267.6832,6387.1563,5.7849
ga,hfvrp_n075_m15_s02,48,28514.9057,9051.4812,5.7624
ga,hfvrp_n075_m15_s03,48,29487.3202,11441.7582,5.7791
ga,hfvrp_n075_m15_s04,48,27076.0844,11045.1450,5.8136
ga,hfvrp_n075_m15_s05,48,23946.4951,7377.5444,5.7574
ga,hfvrp_n100_m20_s01,48,48105.9777,19601.1480,8.1396
ga,hfvrp_n100_m20_s02,48,42782.4370,18942.1667,8.1818
ga,hfvrp_n100_m20_s03,48,40358.5465,19890.1374,8.1647
ga,hfvrp_n100_m20_s04,48,42044.9371,19634.4066,8.2060
