variant_a,variant_b,n_pairs,a_wins,b_wins,ties,mean_gap_pct,median_gap_pct
BIG,DEFAULT,730,490,18,222,-15.7038,-4.7670
BIG,MEDIUM,731,320,136,275,-1.8273,0.0000
BIG,SMALL,730,520,2,208,-27.3573,-15.3696
DEFAULT,BIG,730,18,490,222,29.7657,5.0057
DEFAULT,MEDIUM,730,32,473,225,25.9898,4.4395
DEFAULT,SMALL,730,472,32,226,-17.8464,-8.1146
MEDIUM,BIG,731,136,320,275,2.2219,0.0000
MEDIUM,DEFAULT,730,473,32,225,-14.4978,-4.2507
MEDIUM,SMALL,730,514,3,213,-26.6048,-14.7474
SMALL,BIG,730,2,520,208,88.2432,18.1611
SMALL,DEFAULT,730,32,472,226,33.0914,8.8312
SMALL,MEDIUM,730,3,514,213,81.0332,17.2986
