method,N,runs,cost_mean,cost_std,gap_mean_pct,gap_std_pct,runtime_mean,runtime_std
exact,1,5,370.5461,298.1372,0.0000,0.0000,0.0006,0.0001
exact,2,6,852.3889,839.8031,0.0000,0.0000,0.0053,0.0011
exact,3,2,313.8995,51.8995,0.0000,0.0000,0.0032,0.0025
exact,5,5,1133.6528,389.8589,0.0000,0.0000,0.0449,0.0216
exact,10,5,2526.1717,364.1277,0.0000,0.0000,35.5533,28.8293
exact,15,5,5679.3306,2424.4706,0.0000,0.0000,16408.9432,3182.1155
exact,20,5,5766.9225,1200.6704,0.0000,0.0000,18000.0023,0.0009
exact,30,5,8816.3619,1429.2405,0.0000,0.0000,13807.2459,3793.9044
exact,31,1,14061.0143,0.0000,0.0000,0.0000,18000.0080,0.0000
exact,36,1,11748.3895,0.0000,0.0000,0.0000,18000.0087,0.0000
exact,44,1,18357.4014,0.0000,0.0000,0.0000,12979.9191,0.0000
exact,50,5,24348.1359,2343.1044,0.0000,0.0000,18000.0299,0.0072
exact,53,1,26234.6103,0.0000,0.0000,0.0000,18000.0164,0.0000
exact,59,1,28511.2899,0.0000,0.0000,0.0000,18000.0180,0.0000
exact,75,4,53552.3594,12721.0430,0.0000,0.0000,18000.0635,0.0055
exact,79,1,42641.6479,0.0000,0.0000,0.0000,18000.0643,0.0000
exact,100,1,89123.6684,0.0000,0.0000,0.0000,18000.1839,0.0000
exact,109,1,2770151.9990,0.0000,0.0000,0.0000,18000.0945,0.0000
exact,119,1,4862063.1873,0.0000,0.0000,0.0000,18000.1733,0.0000
ga,1,240,370.5461,298.1372,0.0000,0.0000,0.2492,0.2967
ga,2,288,971.8647,922.9326,10.2439,22.8569,0.3204,0.3823
ga,3,96,313.8995,51.8995,0.0000,0.0000,0.3976,0.4739
ga,5,240,1171.4417,407.7526,2.9864,5.1739,0.4863,0.5809
ga,10,240,3008.9076,645.9726,18.4066,16.6087,0.7563,0.9028
ga,15,240,8963.3154,5151.3549,48.5386,29.5039,1.0144,1.2120
ga,20,240,9176.6398,2697.4249,57.7853,24.3305,1.3378,1.6005
ga,30,240,12263.2617,2625.9976,39.7458,22.7237,2.0530,2.4618
ga,31,48,16374.2495,519.1262,16.4514,3.6920,2.1639,2.5990
ga,36,48,13342.7045,538.3775,13.5705,4.5826,2.5249,3.0341
ga,44,48,17240.2512,914.8879,-6.0856,4.9838,3.1435,3.7842
ga,50,240,39600.4588,12659.0833,62.7635,48.9224,3.5534,4.2635
ga,53,48,26590.6388,1186.0165,1.3571,4.5208,3.8699,4.6489
ga,59,48,30224.7018,1919.8644,6.0096,6.7337,4.4234,5.3183
ga,75,240,50488.0024,22991.8148,-2.9564,43.6223,5.8232,6.9928
