beta,method,instances,gap_mean_pct,gap_median_pct,gap_max_pct
0,savings,34,4.1221,0.3225,20.1056
0,tabu,34,1.4015,0.0,13.2025
0,ga,34,2.0661,0.0,20.1056
0.001,savings,34,4.1683,0.3494,20.1438
0.001,tabu,34,1.4136,0.0,12.9189
0.001,ga,34,2.1033,0.0068,20.1438
0.1,savings,28,6.7858,1.1655,31.8793
0.1,tabu,28,0.6032,0.0,4.7597
0.1,ga,28,4.2772,0.0,23.6694
0.25,savings,27,8.1567,0.2116,47.5917
0.25,tabu,27,1.0316,0.0,11.2442
0.25,ga,27,5.0024,0.0,28.1931
0.5,savings,27,11.3438,0.2024,63.0579
0.5,tabu,27,0.6946,0.0,7.5398
0.5,ga,27,6.4474,0.0,43.9485
1,savings,26,13.224,1.4557,88.5529
1,tabu,26,0.5205,0.0,7.4337
1,ga,26,7.5605,0.0,61.8297
2,savings,25,16.4422,0.1581,107.8552
2,tabu,25,0.3425,0.0,4.1885
2,ga,25,8.8577,0.0,74.6005
5,savings,24,19.8519,0.0552,124.4656
5,tabu,24,0.2036,0.0,2.8433
5,ga,24,10.2644,0.0,84.2592
