beta,method,instances,vehicles_used_mean
0,exact,35,1.6571
0,savings,35,1.6857
0,tabu,35,1.7429
0,ga,35,1.6857
0.001,exact,35,1.6571
0.001,savings,35,1.6857
0.001,tabu,35,1.7429
0.001,ga,35,1.6857
0.1,exact,35,1.7429
0.1,savings,35,1.6857
0.1,tabu,35,1.8
0.1,ga,35,1.6857
0.25,exact,35,1.9143
0.25,savings,35,1.6857
0.25,tabu,35,1.9429
0.25,ga,35,1.6857
0.5,exact,35,2.0857
0.5,savings,35,1.6857
0.5,tabu,35,2.0857
0.5,ga,35,1.6857
1,exact,35,2.1429
1,savings,35,1.6857
1,tabu,35,2.1714
1,ga,35,1.6857
2,exact,35,2.1714
2,savings,35,1.6857
2,tabu,35,2.2286
2,ga,35,1.6857
5,exact,35,2.2
5,savings,35,1.6857
5,tabu,35,2.2857
5,ga,35,1.6857
