instance,M,beta_0,beta_0.001,beta_0.1,beta_0.25,beta_0.5,beta_1,beta_2,beta_5
ex1_1v_feasible,1,1,1,1,1,1,1,1,1
ex2_1v_infeasible,1,0,0,0,0,0,0,0,0
ex3_3v_all_feasible,3,3,3,3,3,3,3,3,3
ex4_3v_infeasible,3,0,0,0,0,0,0,0,0
ex5_3v_one_used_feasible,3,1,1,1,1,1,1,1,1
hfvrp_n001_m03_s01,3,1,1,1,1,1,1,1,1
hfvrp_n001_m03_s02,3,1,1,1,1,1,1,1,1
hfvrp_n001_m03_s03,3,1,1,1,1,1,1,1,1
hfvrp_n001_m03_s04,3,1,1,1,1,1,1,1,1
hfvrp_n001_m03_s05,3,1,1,1,1,1,1,1,1
hfvrp_n002_m03_s01,3,2,2,2,2,2,2,2,2
hfvrp_n002_m03_s02,3,1,1,1,1,1,1,1,1
hfvrp_n002_m03_s03,3,2,2,2,2,2,2,2,2
hfvrp_n002_m03_s04,3,2,2,2,2,2,2,2,2
hfvrp_n002_m03_s05,3,2,2,2,2,2,2,2,2
hfvrp_n005_m03_s01,3,1,1,1,1,1,1,1,1
hfvrp_n005_m03_s02,3,2,2,2,2,2,2,2,2
hfvrp_n005_m03_s03,3,2,2,2,2,2,2,2,2
hfvrp_n005_m03_s04,3,2,2,2,2,2,2,2,2
hfvrp_n005_m03_s05,3,2,2,2,3,3,3,3,3
hfvrp_n010_m03_s01,3,2,2,2,2,2,2,2,2
hfvrp_n010_m03_s02,3,2,2,2,2,2,2,2,2
hfvrp_n010_m03_s03,3,2,2,2,2,2,3,3,3
hfvrp_n010_m03_s04,3,2,2,2,2,3,3,3,3
hfvrp_n010_m03_s05,3,2,2,2,2,3,3,3,3
hfvrp_n015_m03_s01,3,2,2,2,3,3,3,3,3
hfvrp_n015_m03_s02,3,2,2,2,3,3,3,3,3
hfvrp_n015_m03_s03,3,2,2,2,2,2,2,2,3
hfvrp_n015_m03_s04,3,2,2,3,3,3,3,3,3
hfvrp_n015_m03_s05,3,2,2,2,2,3,3,3,3
hfvrp_n020_m04_s01,4,2,2,2,4,4,4,4,4
hfvrp_n020_m04_s02,4,2,2,3,3,4,4,4,4
hfvrp_n020_m04_s03,4,2,2,2,3,3,3,4,4
hfvrp_n020_m04_s04,4,2,2,3,3,4,4,4,4
hfvrp_n020_m04_s05,4,2,2,2,2,3,4,4,4
