# Which battery each method's rows came from.
# beta	method	rows	source
beta_0	exact	76	new-results/results_sweep
beta_0	savings	76	results_heur
beta_0	tabu	912	results_heur
beta_0	ga	3648	results_heur
beta_0.001	exact	76	new-results/results_sweep
beta_0.001	savings	76	results_heur
beta_0.001	tabu	912	results_heur
beta_0.001	ga	3648	results_heur
beta_0.1	exact	76	new-results/results_sweep
beta_0.1	savings	76	results_heur
beta_0.1	tabu	912	results_heur
beta_0.1	ga	3648	results_heur
beta_0.25	exact	76	new-results/results_sweep
beta_0.25	savings	76	results_heur
beta_0.25	tabu	912	results_heur
beta_0.25	ga	3648	results_heur
beta_0.5	exact	76	new-results/results_sweep
beta_0.5	savings	76	results_heur
beta_0.5	tabu	912	results_heur
beta_0.5	ga	3648	results_heur
beta_1	exact	76	new-results/results_sweep
beta_1	savings	76	results_heur
beta_1	tabu	912	results_heur
beta_1	ga	3648	results_heur
beta_2	exact	76	new-results/results_sweep
beta_2	savings	76	results_heur
beta_2	tabu	912	results_heur
beta_2	ga	3648	results_heur
beta_5	exact	76	new-results/results_sweep
beta_5	savings	76	results_heur
beta_5	tabu	912	results_heur
beta_5	ga	3648	results_heur
